player_id,install_date,channel,campaign_id,country,platform
1,2026-01-01,paid_social,1.0,CA,Android
2,2026-01-01,paid_social,1.0,US,iOS
3,2026-01-01,paid_social,1.0,MX,iOS
4,2026-01-01,paid_social,1.0,US,Android
5,2026-01-01,paid_social,1.0,DE,iOS
6,2026-01-01,paid_social,1.0,CA,Android
7,2026-01-01,paid_social,1.0,US,iOS
8,2026-01-01,paid_social,1.0,IN,Android
9,2026-01-01,paid_social,1.0,CA,Android
10,2026-01-01,paid_social,1.0,AU,Android
11,2026-01-01,paid_social,1.0,US,Android
12,2026-01-01,paid_social,1.0,CA,iOS
13,2026-01-01,paid_social,1.0,DE,iOS
14,2026-01-01,paid_social,1.0,BR,Android
15,2026-01-01,paid_social,1.0,US,iOS
16,2026-01-01,paid_social,1.0,US,iOS
17,2026-01-01,paid_social,1.0,BR,iOS
18,2026-01-01,paid_social,1.0,US,Android
19,2026-01-01,paid_social,1.0,US,Android
20,2026-01-01,paid_social,1.0,US,iOS
21,2026-01-01,paid_social,1.0,US,iOS
22,2026-01-01,paid_social,1.0,CA,Android
23,2026-01-01,paid_social,1.0,IN,iOS
24,2026-01-01,paid_social,1.0,US,iOS
25,2026-01-01,paid_social,1.0,MX,iOS
26,2026-01-01,paid_social,1.0,IN,iOS
27,2026-01-01,paid_social,1.0,US,Android
28,2026-01-01,paid_social,1.0,AU,iOS
29,2026-01-01,paid_social,1.0,US,iOS
30,2026-01-01,paid_social,1.0,US,iOS
31,2026-01-01,paid_social,1.0,BR,iOS
32,2026-01-01,paid_social,1.0,US,Android
33,2026-01-01,paid_social,1.0,US,iOS
34,2026-01-01,paid_social,1.0,DE,Android
35,2026-01-01,paid_social,1.0,US,Android
36,2026-01-01,paid_social,1.0,US,iOS
37,2026-01-01,paid_social,1.0,US,iOS
38,2026-01-01,paid_social,1.0,IN,iOS
39,2026-01-01,paid_social,1.0,BR,iOS
40,2026-01-01,paid_social,1.0,US,iOS
41,2026-01-01,paid_social,1.0,MX,Android
42,2026-01-01,paid_social,1.0,US,iOS
43,2026-01-01,paid_social,1.0,US,Android
44,2026-01-01,paid_social,1.0,US,iOS
45,2026-01-01,paid_social,1.0,GB,iOS
46,2026-01-01,paid_social,1.0,BR,Android
47,2026-01-01,paid_social,2.0,AU,Android
48,2026-01-01,paid_social,2.0,IN,Android
49,2026-01-01,paid_social,2.0,MX,iOS
50,2026-01-01,paid_social,2.0,DE,iOS
51,2026-01-01,paid_social,2.0,GB,Android
52,2026-01-01,paid_social,2.0,BR,Android
53,2026-01-01,paid_social,2.0,US,iOS
54,2026-01-01,paid_social,2.0,US,Android
55,2026-01-01,paid_social,2.0,US,iOS
56,2026-01-01,paid_social,2.0,GB,iOS
57,2026-01-01,paid_social,2.0,BR,Android
58,2026-01-01,paid_social,2.0,US,iOS
59,2026-01-01,paid_social,2.0,US,Android
60,2026-01-01,paid_social,2.0,US,iOS
61,2026-01-01,paid_social,2.0,US,Android
62,2026-01-01,paid_social,2.0,DE,iOS
63,2026-01-01,paid_social,2.0,DE,iOS
64,2026-01-01,paid_social,2.0,US,iOS
65,2026-01-01,paid_social,2.0,GB,Android
66,2026-01-01,paid_social,2.0,US,iOS
67,2026-01-01,paid_social,2.0,AU,Android
68,2026-01-01,paid_social,2.0,MX,Android
69,2026-01-01,paid_social,2.0,US,Android
70,2026-01-01,paid_social,2.0,IN,iOS
71,2026-01-01,paid_social,2.0,CA,iOS
72,2026-01-01,paid_social,2.0,BR,Android
73,2026-01-01,paid_social,2.0,BR,Android
74,2026-01-01,paid_social,2.0,US,Android
75,2026-01-01,paid_social,2.0,US,iOS
76,2026-01-01,paid_social,2.0,GB,iOS
77,2026-01-01,paid_social,2.0,US,Android
78,2026-01-01,paid_social,2.0,DE,iOS
79,2026-01-01,paid_social,2.0,DE,iOS
80,2026-01-01,paid_social,2.0,IN,iOS
81,2026-01-01,paid_social,2.0,IN,iOS
82,2026-01-01,paid_social,2.0,AU,Android
83,2026-01-01,paid_social,2.0,CA,iOS
84,2026-01-01,paid_social,2.0,MX,iOS
85,2026-01-01,paid_social,2.0,US,iOS
86,2026-01-01,paid_social,2.0,US,iOS
87,2026-01-01,paid_social,2.0,IN,Android
88,2026-01-01,paid_social,2.0,DE,Android
89,2026-01-01,paid_social,2.0,IN,iOS
90,2026-01-01,paid_social,2.0,DE,iOS
91,2026-01-01,paid_social,2.0,IN,iOS
92,2026-01-01,paid_social,2.0,US,Android
93,2026-01-01,paid_social,2.0,IN,Android
94,2026-01-01,paid_social,3.0,AU,Android
95,2026-01-01,paid_social,3.0,GB,Android
96,2026-01-01,paid_social,3.0,US,Android
97,2026-01-01,paid_social,3.0,BR,Android
98,2026-01-01,paid_social,3.0,BR,iOS
99,2026-01-01,paid_social,3.0,BR,iOS
100,2026-01-01,paid_social,3.0,BR,iOS
101,2026-01-01,paid_social,3.0,US,Android
102,2026-01-01,paid_social,3.0,CA,iOS
103,2026-01-01,paid_social,3.0,BR,iOS
104,2026-01-01,paid_social,3.0,DE,iOS
105,2026-01-01,paid_social,3.0,CA,iOS
106,2026-01-01,paid_social,3.0,US,iOS
107,2026-01-01,paid_social,3.0,BR,iOS
108,2026-01-01,paid_social,3.0,US,iOS
109,2026-01-01,paid_social,3.0,CA,Android
110,2026-01-01,paid_social,3.0,US,Android
111,2026-01-01,paid_social,3.0,AU,iOS
112,2026-01-01,paid_social,3.0,GB,iOS
113,2026-01-01,paid_social,3.0,IN,iOS
114,2026-01-01,paid_social,3.0,US,iOS
115,2026-01-01,paid_social,3.0,BR,Android
116,2026-01-01,paid_social,3.0,GB,iOS
117,2026-01-01,paid_social,3.0,IN,Android
118,2026-01-01,paid_social,3.0,US,iOS
119,2026-01-01,paid_social,3.0,GB,iOS
120,2026-01-01,paid_social,3.0,US,iOS
121,2026-01-01,paid_social,3.0,US,iOS
122,2026-01-01,paid_social,3.0,IN,Android
123,2026-01-01,paid_social,3.0,US,iOS
124,2026-01-01,paid_social,3.0,CA,Android
125,2026-01-01,paid_social,3.0,MX,iOS
